[limubert] device=cuda
[limubert] corpus: 188888 windows, shape (188888, 120, 6)
Train Size: 151110, Vali Size: 18888, Test Size: 18890
[limubert] train=151110 val=18888
Epoch 1/250 : Average Loss 0.3344. Test Loss 0.3184
Epoch 2/250 : Average Loss 0.3101. Test Loss 0.3008
Epoch 3/250 : Average Loss 0.2935. Test Loss 0.2897
Epoch 4/250 : Average Loss 0.2824. Test Loss 0.2856
Epoch 5/250 : Average Loss 0.2801. Test Loss 0.2832
Epoch 6/250 : Average Loss 0.2814. Test Loss 0.2769
Epoch 7/250 : Average Loss 0.2762. Test Loss 0.2724
Epoch 8/250 : Average Loss 0.2765. Test Loss 0.2669
Epoch 9/250 : Average Loss 0.2762. Test Loss 0.2796
Epoch 10/250 : Average Loss 0.2773. Test Loss 0.2792
Epoch 11/250 : Average Loss 0.2745. Test Loss 0.2703
Epoch 12/250 : Average Loss 0.2765. Test Loss 0.2582
Epoch 13/250 : Average Loss 0.2701. Test Loss 0.2694
Epoch 14/250 : Average Loss 0.2741. Test Loss 0.2798
Epoch 15/250 : Average Loss 0.2708. Test Loss 0.2678
Epoch 16/250 : Average Loss 0.2685. Test Loss 0.2747
Epoch 17/250 : Average Loss 0.2696. Test Loss 0.2640
Epoch 18/250 : Average Loss 0.2663. Test Loss 0.2597
Epoch 19/250 : Average Loss 0.2654. Test Loss 0.2631
Epoch 20/250 : Average Loss 0.2617. Test Loss 0.2654
Epoch 21/250 : Average Loss 0.2571. Test Loss 0.2503
Epoch 22/250 : Average Loss 0.2572. Test Loss 0.2549
Epoch 23/250 : Average Loss 0.2535. Test Loss 0.2529
Epoch 24/250 : Average Loss 0.2506. Test Loss 0.2423
Epoch 25/250 : Average Loss 0.2420. Test Loss 0.2431
Epoch 26/250 : Average Loss 0.2310. Test Loss 0.2230
Epoch 27/250 : Average Loss 0.2169. Test Loss 0.2109
Epoch 28/250 : Average Loss 0.2144. Test Loss 0.2160
Epoch 29/250 : Average Loss 0.2047. Test Loss 0.2099
Epoch 30/250 : Average Loss 0.1968. Test Loss 0.1992
Epoch 31/250 : Average Loss 0.1953. Test Loss 0.1962
Epoch 32/250 : Average Loss 0.1950. Test Loss 0.1876
Epoch 33/250 : Average Loss 0.1883. Test Loss 0.1817
Epoch 34/250 : Average Loss 0.1873. Test Loss 0.1917
Epoch 35/250 : Average Loss 0.1881. Test Loss 0.1831
Epoch 36/250 : Average Loss 0.1827. Test Loss 0.1950
Epoch 37/250 : Average Loss 0.1818. Test Loss 0.1789
Epoch 38/250 : Average Loss 0.1868. Test Loss 0.1869
Epoch 39/250 : Average Loss 0.1800. Test Loss 0.1753
Epoch 40/250 : Average Loss 0.1824. Test Loss 0.1770
Epoch 41/250 : Average Loss 0.1780. Test Loss 0.1802
Epoch 42/250 : Average Loss 0.1762. Test Loss 0.1772
Epoch 43/250 : Average Loss 0.1776. Test Loss 0.1822
Epoch 44/250 : Average Loss 0.1730. Test Loss 0.1810
Epoch 45/250 : Average Loss 0.1739. Test Loss 0.1757
Epoch 46/250 : Average Loss 0.1704. Test Loss 0.1765
Epoch 47/250 : Average Loss 0.1788. Test Loss 0.1729
Epoch 48/250 : Average Loss 0.1697. Test Loss 0.1696
Epoch 49/250 : Average Loss 0.1685. Test Loss 0.1722
Epoch 50/250 : Average Loss 0.1727. Test Loss 0.1648
Epoch 51/250 : Average Loss 0.1722. Test Loss 0.1733
Epoch 52/250 : Average Loss 0.1733. Test Loss 0.1707
Epoch 53/250 : Average Loss 0.1687. Test Loss 0.1646
Epoch 54/250 : Average Loss 0.1684. Test Loss 0.1671
Epoch 55/250 : Average Loss 0.1674. Test Loss 0.1762
Epoch 56/250 : Average Loss 0.1679. Test Loss 0.1658
Epoch 57/250 : Average Loss 0.1654. Test Loss 0.1682
Epoch 58/250 : Average Loss 0.1678. Test Loss 0.1601
Epoch 59/250 : Average Loss 0.1641. Test Loss 0.1670
Epoch 60/250 : Average Loss 0.1687. Test Loss 0.1669
Epoch 61/250 : Average Loss 0.1671. Test Loss 0.1732
Epoch 62/250 : Average Loss 0.1667. Test Loss 0.1650
Epoch 63/250 : Average Loss 0.1621. Test Loss 0.1576
Epoch 64/250 : Average Loss 0.1638. Test Loss 0.1692
Epoch 65/250 : Average Loss 0.1627. Test Loss 0.1639
Epoch 66/250 : Average Loss 0.1617. Test Loss 0.1660
Epoch 67/250 : Average Loss 0.1634. Test Loss 0.1626
Epoch 68/250 : Average Loss 0.1625. Test Loss 0.1657
Epoch 69/250 : Average Loss 0.1625. Test Loss 0.1656
Epoch 70/250 : Average Loss 0.1630. Test Loss 0.1592
Epoch 71/250 : Average Loss 0.1609. Test Loss 0.1605
Epoch 72/250 : Average Loss 0.1646. Test Loss 0.1615
Epoch 73/250 : Average Loss 0.1607. Test Loss 0.1712
Epoch 74/250 : Average Loss 0.1637. Test Loss 0.1615
Epoch 75/250 : Average Loss 0.1646. Test Loss 0.1638
Epoch 76/250 : Average Loss 0.1618. Test Loss 0.1552
Epoch 77/250 : Average Loss 0.1599. Test Loss 0.1593
Epoch 78/250 : Average Loss 0.1590. Test Loss 0.1555
Epoch 79/250 : Average Loss 0.1584. Test Loss 0.1568
Epoch 80/250 : Average Loss 0.1590. Test Loss 0.1553
Epoch 81/250 : Average Loss 0.1608. Test Loss 0.1587
Epoch 82/250 : Average Loss 0.1577. Test Loss 0.1613
Epoch 83/250 : Average Loss 0.1586. Test Loss 0.1627
Epoch 84/250 : Average Loss 0.1602. Test Loss 0.1582
Epoch 85/250 : Average Loss 0.1572. Test Loss 0.1516
Epoch 86/250 : Average Loss 0.1593. Test Loss 0.1576
Epoch 87/250 : Average Loss 0.1589. Test Loss 0.1602
Epoch 88/250 : Average Loss 0.1592. Test Loss 0.1577
Epoch 89/250 : Average Loss 0.1561. Test Loss 0.1582
Epoch 90/250 : Average Loss 0.1527. Test Loss 0.1548
Epoch 91/250 : Average Loss 0.1555. Test Loss 0.1562
Epoch 92/250 : Average Loss 0.1555. Test Loss 0.1534
